,0
0,0.5449438202247192
1,0.061797752808988804
2,0.28370786516853963
3,0.3707865168539328
4,1.0
5,0.50561797752809
6,0.5084269662921348
7,0.4438202247191012
8,0.7752808988764044
9,0.9185393258426968
10,0.696629213483146
11,0.7471910112359552
12,0.457865168539326
13,0.16011235955056202
14,0.4831460674157304
15,0.404494382022472
16,0.7162921348314608
17,0.5926966292134832
18,0.3792134831460676
19,0.4691011235955056
20,0.7050561797752812
21,0.9157303370786516
22,0.7303370786516856
23,0.8483146067415732
24,0.654494382022472
25,0.0
26,0.2949438202247192
27,0.15168539325842723
28,0.6657303370786516
29,0.3904494382022472
30,0.4719101123595508
31,0.3483146067415732
32,0.7668539325842696
33,0.9353932584269664
34,0.7837078651685396
35,0.7275280898876404
